,cri,gfz,jpl,mas,csr,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,adj
2009-04-30,-4.390150100253618,3.197559348304544,7.791416609973428,-3.4829116445644397,10.500503934354901,3.197559348304544,3.045791156177165,10.3550413082998,0.024097611225932274,0.21510056603601221,26.71872605088,0.11959908863097224,6.700416232238482,-1.5939531064258383,-1.5939531064258383,-1.5939531064258383
2009-05-31,-13.795996272447372,2.080942042932568,2.115990232117715,-11.56633374987807,0.2910510068897162,0.2910510068897162,2.6919695506814802,8.448846740953133,0.0035247132123602835,0.0975644218604371,28.2212453076,0.05054456753639869,5.570408145817307,-0.012405642314534227,-0.012405642314534227,-0.012405642314534227
2009-06-30,-27.068669153059936,0.6261286012526356,0.8738434124171743,-22.861997922097586,6.422123049656122,0.6261286012526356,2.3924946956928936,6.582793373376063,0.0005922697204857545,0.019675327114266155,30.9458916144,0.010133798417375954,4.487644034534478,-0.9753428251455127,-0.9753428251455127,-0.9753428251455127
2009-07-31,-31.10439253377623,-13.384903174965416,-9.939868290013827,-26.21884710247138,-10.887283014092107,-13.384903174965416,2.035048043821482,4.55241804411713,0.00021852410131980907,0.0008012900671614814,28.673352732,0.0005099070842406453,3.293733043969306,-9.90882941066711,-9.90882941066711,-9.90882941066711
2009-08-31,-39.06944118533553,-27.457133546494756,-18.751551225697096,-32.97926257968145,-30.26677780304307,-30.26677780304307,1.5512797212556513,3.160624508641706,1.10910761709163e-05,0.0,25.15979605332,5.54553808545815e-06,2.3559521149486784,-25.814935833796287,-25.814935833796287,-25.814935833796287
2009-09-30,-41.409009370311026,-42.69042967040644,-31.497791387886696,-35.33405747717845,-33.48716565839525,-35.33405747717845,1.2693988156631868,2.4917856773154305,2.6968793927705337e-05,0.0,22.37957160468,1.3484396963852668e-05,1.8805922464893086,-32.07848109893796,-32.07848109893796,-32.07848109893796
2009-10-31,-44.27366130032991,-36.61363882364021,-33.03225878157353,-37.961105964454624,-31.48309111847394,-36.61363882364021,1.1561768294757964,2.0788805849432603,7.101039661447786e-05,0.0,20.71580444148,3.550519830723893e-05,1.6175287072095283,-34.68683014196178,-34.68683014196178,-34.68683014196178
2009-11-30,-32.60165399286269,-39.124822404084696,-43.85026603758058,-27.78819156460257,-41.411911114728376,-39.124822404084696,1.344253024577834,2.5243369570106386,0.0020879959259647715,0.0037187286102341047,20.23494706524,0.002903362268099438,1.9342949907942364,-38.9635991684992,-38.9635991684992,-38.9635991684992
2009-12-31,-18.383843636795955,-40.40248516636853,-28.092849203917112,-15.951927480165315,-24.29969323362143,-24.29969323362143,1.578015137989,2.7246766655323063,0.010170478335344344,0.01436089498204677,19.71178009152,0.012265686658695558,2.151345901760653,-24.002939495258445,-24.002939495258445,-24.002939495258445
2010-01-31,5.168937870324348,-13.789420489567567,-21.513764940962936,4.65756889082273,-10.329561393538508,-10.329561393538508,1.8697027869820062,6.30913837505319,0.04715923808857706,0.11140814249989003,20.49498191796,0.07928369029423354,4.089420581017598,-13.117855902870991,-13.117855902870991,-13.117855902870991
2010-02-28,11.051403619387777,13.008135798876461,13.133632263980346,10.245959564526663,18.864920239452246,13.008135798876461,2.547735940860341,12.01367819514937,0.10220195772497313,0.258341265150338,23.96168855928,0.18027161143765558,7.280707068004855,6.249154749425783,6.249154749425783,6.249154749425783
2010-03-31,13.787789276408505,15.809569407186766,27.568066328382116,12.102477358722574,26.526060515113873,15.809569407186766,3.0123405832711843,12.616392237034932,0.09460441672533816,0.40077404241616443,27.044359836960002,0.2476892295707513,7.814366410153058,12.125821169225464,12.125821169225464,12.125821169225464
2010-04-30,3.5262137992078664,19.151711725725765,19.747374583566216,3.172687257250749,31.627336956711613,19.151711725725765,3.2314791281806965,11.573955662955141,0.051323259100116876,0.39226171205645227,30.16692925872,0.22179248557828457,7.402717395567919,16.466688062543373,16.466688062543373,16.466688062543373
2010-05-31,2.523250486433257,18.203945702173723,5.487806719683598,2.879726382997931,30.113481343704063,5.487806719683598,3.215696335751653,11.406545068133424,0.018168285648385234,0.2910250226414076,33.243951198,0.15459665414489643,7.311120701942539,2.569577305462368,2.569577305462368,2.569577305462368
